date,num_rrsig,num_httpsrr
2023-05-08,18789,142284
2023-05-09,18798,142537
2023-05-10,18825,142488
2023-05-11,18823,142471
2023-05-12,18845,142496
2023-05-13,18840,142483
2023-05-14,18837,142441
2023-05-15,18825,142427
2023-05-16,18836,142420
2023-05-17,18851,142459
2023-05-18,18868,142454
2023-05-19,18857,142443
2023-05-20,18861,142456
2023-05-21,18855,142440
2023-05-22,18864,142459
2023-05-23,18879,142452
2023-05-24,18846,142403
2023-05-25,18837,142418
2023-05-26,18827,142429
2023-05-27,18845,142439
2023-05-28,18846,142430
2023-05-29,18847,142424
2023-05-30,18848,142393
2023-05-31,18850,142370
2023-06-01,18866,142368
2023-06-02,18885,142403
2023-06-03,18878,142377
2023-06-04,18884,142331
2023-06-05,18885,142351
2023-06-06,18882,142367
2023-06-07,18893,142375
2023-06-08,18914,142386
2023-06-09,18916,142421
2023-06-10,18922,142353
2023-06-11,18926,142343
2023-06-12,18927,142341
2023-06-13,18927,142349
2023-06-14,18938,142265
2023-06-15,18951,142324
2023-06-16,18954,142368
2023-06-17,18944,141878
2023-06-18,18968,141882
2023-06-19,18967,141844
2023-06-20,18975,141821
2023-06-21,18988,141764
2023-06-22,18999,141775
2023-06-23,18990,141732
2023-06-24,18991,141710
2023-06-25,18999,141697
2023-06-26,18995,141678
2023-06-27,19001,141793
2023-06-28,19015,141845
2023-06-29,19015,141852
2023-06-30,19007,141834
2023-07-01,19009,141829
2023-07-02,19017,141826
2023-07-03,19011,141777
2023-07-04,19013,141726
2023-07-05,19013,141717
2023-07-06,19032,141603
2023-07-07,19030,141601
2023-07-08,19035,141603
2023-07-09,19026,141587
2023-07-10,19030,141596
2023-07-11,19028,141577
2023-07-12,19036,141570
2023-07-13,19048,141552
2023-07-14,19052,141520
2023-07-15,19051,141503
2023-07-16,19060,141509
2023-07-17,19094,141563
2023-07-18,19089,141552
2023-07-19,19089,141489
2023-07-20,19100,141466
2023-07-21,19125,141494
2023-07-22,19115,141362
2023-07-23,19118,141257
2023-07-24,19113,141203
2023-07-25,19125,141150
2023-07-26,19127,141061
2023-07-27,19118,141006
2023-07-28,19114,140988
2023-07-29,19121,140971
2023-07-30,19134,140955
2023-07-31,19135,140918
2023-08-01,19139,140663
