date,num_adbit,num_httpsrr,perc,adbit_perc
2023-05-08,5720,137112,21.59890360895386,4.17177198202929
2023-05-09,5726,137412,21.646161843701265,4.167030535906616
2023-05-10,5737,137350,21.63639514185347,4.176920276665453
2023-05-11,5741,137338,21.63450481246357,4.180197760270282
2023-05-12,5751,137348,21.63608008695515,4.187174185281184
2023-05-13,5749,137329,21.63308706542115,4.1862971404437515
2023-05-14,5751,137292,21.627258549802303,4.188882090726335
2023-05-15,5747,137265,21.62300530867504,4.186791971733508
2023-05-16,5748,137250,21.620642396937665,4.187978142076503
2023-05-17,5751,137279,21.62521069296325,4.189278768056294
2023-05-18,5758,137281,21.62552574786157,4.194316766340571
2023-05-19,5753,137288,21.62662844000567,4.1904609288503005
2023-05-20,5754,137296,21.62788865959893,4.190945111292391
2023-05-21,5751,137279,21.62521069296325,4.189278768056294
2023-05-22,5755,137293,21.62741607725146,4.191765057213405
2023-05-23,5760,137204,21.6133961342764,4.198128334450891
2023-05-24,5760,137175,21.60882783825081,4.19901585565883
2023-05-25,5759,137170,21.608040201005025,4.1984398921046875
2023-05-26,5765,137197,21.61229344213229,4.20198692391233
2023-05-27,5760,137196,21.612135914683133,4.198373130411966
2023-05-28,5760,137175,21.60882783825081,4.19901585565883
2023-05-29,5759,137165,21.60725256375924,4.19859293551562
2023-05-30,5761,137140,21.603314377530285,4.20081668368091
2023-05-31,5755,137117,21.59969124619965,4.197145503475134
2023-06-01,5772,137113,21.59906113640302,4.209666479473135
2023-06-02,5773,137123,21.6006364108946,4.210088752433946
2023-06-03,5773,137094,21.596068114869016,4.210979328052285
2023-06-04,5771,137040,21.587561632614484,4.211179217746643
2023-06-05,5779,137064,21.59134229139428,4.216278526819588
2023-06-06,5780,137068,21.591972401190908,4.216885049756326
2023-06-07,5778,137061,21.590869709046803,4.215641210847725
2023-06-08,5777,137045,21.588349269860277,4.215403699514758
2023-06-09,5783,137070,21.592287456089224,4.219012183555847
2023-06-10,5785,136998,21.580945479749847,4.22268938232675
2023-06-11,5779,136985,21.57889762291079,4.2187100777457385
2023-06-12,5783,137000,21.581260534648163,4.221167883211679
2023-06-13,5786,137001,21.58141806209732,4.2233268370303865
2023-06-14,5791,136918,21.568343283817207,4.229538848069647
2023-06-15,5793,136952,21.573699217088578,4.229949179274491
2023-06-16,5797,136981,21.57826751311416,4.231973777385185
2023-06-17,5805,136506,21.5034419747641,4.2525603270185925
2023-06-18,5806,136480,21.499346261085996,4.254103165298945
2023-06-19,5808,136439,21.49288763567052,4.25684738234669
2023-06-20,5807,136429,21.49131236117893,4.25642641960287
2023-06-21,5812,136394,21.48579890045841,4.261184509582533
2023-06-22,5814,136433,21.49194247097557,4.2614323514105825
2023-06-23,5817,136426,21.49083977883146,4.263849999267002
2023-06-24,5817,136394,21.48579890045841,4.26485035998651
2023-06-25,5820,136374,21.482648351475245,4.267675656650095
2023-06-26,5821,136355,21.47965532994124,4.2690037035678925
2023-06-27,5825,136317,21.47366928687324,4.273128076468819
2023-06-28,5833,136366,21.48138813188198,4.277459190707361
2023-06-29,5832,136360,21.48044296718703,4.276914051041361
2023-06-30,5828,136319,21.473984341771555,4.275266103771301
2023-07-01,5830,136309,21.472409067279973,4.277047003499402
2023-07-02,5830,136291,21.46957357319513,4.277611874591866
2023-07-03,5828,136245,21.462327310533865,4.277588168373152
2023-07-04,5832,136195,21.45445093807596,4.282095524799002
2023-07-05,5831,136192,21.453978355728484,4.281455592105263
2023-07-06,5843,136172,21.450827806745327,4.290896806979409
2023-07-07,5840,136165,21.449725114601215,4.288914184996145
2023-07-08,5848,136161,21.449095004804587,4.294915577882066
2023-07-09,5846,136144,21.4464170381689,4.2939828416970265
2023-07-10,5848,136140,21.445786928372268,4.295578081386807
2023-07-11,5849,136132,21.444526708779005,4.296565098580789
2023-07-12,5856,136114,21.44169121469416,4.302276033325007
2023-07-13,5866,136101,21.439643357855108,4.310034459702721
2023-07-14,5865,136066,21.43412989713457,4.310408184263519
2023-07-15,5868,136000,21.423733085490145,4.314705882352941
2023-07-16,5869,136005,21.424520722735934,4.315282526377707
2023-07-17,5879,135972,21.41932231691372,4.323684287941635
2023-07-18,5877,135960,21.417431987523827,4.3225948808473085
2023-07-19,5881,135876,21.40419968179455,4.328211015926286
2023-07-20,5886,135839,21.398371166175707,4.333070767599879
2023-07-21,5888,135837,21.39805611127739,4.334606918586247
2023-07-22,5889,135726,21.38057056442085,4.338888643296053
2023-07-23,5894,135605,21.36150974307273,4.346447402381918
2023-07-24,5892,135557,21.353948425513146,4.346511061767375
2023-07-25,5897,135499,21.344811833461986,4.352061638831283
