date,num_httpsrr,perc
2023-09-08,128977,20.919689749470425
2023-09-09,128289,20.808098174634328
2023-09-10,128291,20.808422568747222
2023-09-11,128314,20.81215310104552
2023-09-12,128310,20.811504312819732
2023-09-13,128042,20.768035501691717
2023-09-14,128070,20.772577019272255
2023-09-15,128098,20.777118536852793
2023-09-16,128101,20.777605128022138
2023-09-17,128110,20.779064901530166
2023-09-18,128110,20.779064901530166
2023-09-19,128095,20.776631945683448
2023-09-20,128102,20.777767325078585
2023-09-21,128154,20.786201572013873
2023-09-22,128154,20.786201572013873
2023-09-23,128157,20.786688163183214
2023-09-24,128156,20.786525966126767
2023-09-25,128166,20.788147936691246
2023-09-26,128157,20.786688163183214
2023-09-27,128181,20.790580892537964
2023-09-28,128197,20.79317604544113
2023-09-29,128228,20.79820415419101
2023-09-30,128236,20.799501730642593
2023-10-01,128234,20.799177336529695
2023-10-02,128259,20.80323226294089
2023-10-03,128284,20.80728718935209
2023-10-04,128363,20.820100756811467
2023-10-05,128379,20.822695909714632
2023-10-06,128394,20.825128865561346
2023-10-07,128374,20.821884924432393
2023-10-08,128403,20.826588639069378
2023-10-09,128398,20.82577765378714
2023-10-10,128403,20.826588639069378
2023-10-11,128423,20.829832580198335
2023-10-12,128434,20.83161674781926
2023-10-13,128446,20.833563112496634
2023-10-14,128462,20.8361582653998
2023-10-15,128472,20.837780235964278
2023-10-16,128462,20.8361582653998
2023-10-17,128493,20.841186374149682
2023-10-18,128527,20.846701074068907
2023-10-19,128542,20.849134029915625
2023-10-20,128570,20.853675547496163
2023-10-21,127262,20.641521797662417
2023-10-22,126727,20.554746372462834
2023-10-23,126750,20.558476904761132
2023-10-24,126793,20.56545137818839
2023-10-25,126825,20.57064168399472
2023-10-26,126862,20.57664297508329
2023-10-27,126894,20.58183328088962
2023-10-28,126917,20.585563813187918
2023-10-29,126932,20.587996769034635
2023-10-30,126921,20.58621260141371
2023-10-31,126959,20.592376089558726
2023-11-01,126979,20.595620030687684
2023-11-02,126998,20.59870177476019
2023-11-03,126939,20.58913214842977
2023-11-04,126888,20.580860098550932
2023-11-05,126920,20.586050404357263
2023-11-06,126873,20.578427142704214
2023-11-07,126979,20.595620030687684
2023-11-08,127030,20.60389208056652
2023-11-09,127064,20.60940678048575
2023-11-10,127112,20.617192239195244
2023-11-11,127091,20.61378610100984
2023-11-12,127088,20.613299509840495
2023-11-13,127106,20.616219056856558
2023-11-14,127213,20.633574141896474
2023-11-15,127254,20.640224221210833
2023-11-16,127279,20.64427914762203
2023-11-17,127295,20.646874300525194
2023-11-18,127315,20.65011824165415
2023-11-19,127319,20.65076702987994
2023-11-20,127328,20.652226803387972
2023-11-21,127359,20.657254912137855
2023-11-22,127386,20.661634232661946
2023-11-23,127443,20.670879464879473
2023-11-24,127475,20.676069770685803
2023-11-25,127463,20.674123406008427
2023-11-26,127461,20.673799011895532
2023-11-27,127465,20.674447800121325
2023-11-28,127484,20.67752954419383
2023-11-29,127507,20.681260076492133
2023-11-30,127484,20.67752954419383
2023-12-01,127460,20.673636814839085
2023-12-02,127499,20.67996250004055
2023-12-03,127461,20.673799011895532
2023-12-04,127450,20.672014844274607
2023-12-05,127493,20.678989317701863
2023-12-06,127504,20.68077348532279
2023-12-07,127450,20.672014844274607
2023-12-08,127447,20.67152825310526
2023-12-09,127393,20.66276961205708
2023-12-10,127419,20.666986735524723
2023-12-11,127445,20.671203858992367
2023-12-12,127452,20.6723392383875
2023-12-13,127462,20.67396120895198
2023-12-14,127497,20.679638105927655
2023-12-15,127513,20.68223325883082
2023-12-16,127538,20.686288185242013
2023-12-17,127523,20.6838552293953
2023-12-18,127544,20.6872613675807
2023-12-19,127528,20.684666214677534
2023-12-20,127528,20.684666214677534
2023-12-21,127583,20.693587052782167
2023-12-22,127586,20.69407364395151
2023-12-23,127632,20.70153470854811
2023-12-24,127639,20.702670087943243
2023-12-25,127627,20.70072372326587
2023-12-26,127632,20.70153470854811
2023-12-27,127644,20.703481073225483
2023-12-28,127651,20.704616452620616
2023-12-29,127664,20.70672501435444
2023-12-30,127683,20.709806758426947
2023-12-31,127698,20.712239714273665
2024-01-01,127678,20.70899577314471
2024-01-02,127695,20.711753123104323
2024-01-03,127720,20.715808049515516
2024-01-04,127720,20.715808049515516
2024-01-05,127801,20.72894601108779
2024-01-06,127805,20.72959479931358
2024-01-07,127797,20.728297222862
2024-01-08,127816,20.731378966934507
2024-01-09,127830,20.733649725724778
2024-01-10,127855,20.737704652135974
2024-01-11,127887,20.742894957942305
2024-01-12,127927,20.749382840200216
2024-01-13,127957,20.754248751893652
2024-01-14,127980,20.75797928419195
2024-01-15,127951,20.753275569554965
2024-01-16,127958,20.7544109489501
2024-01-17,127975,20.75716829890971
2024-01-18,128020,20.76446716644986
2024-01-19,128035,20.76690012229658
2024-01-20,128011,20.763007392941834
2024-01-21,128014,20.763493984111175
2024-01-22,128018,20.764142772336967
2024-01-23,128036,20.767062319353027
2024-01-24,128034,20.766737925240133
2024-01-25,128046,20.768684289917505
2024-01-26,128078,20.773874595723836
2024-01-27,128108,20.77874050741727
2024-01-28,128096,20.7767941427399
2024-01-29,128100,20.777442930965687
2024-01-30,128099,20.77728073390924
2024-01-31,128089,20.77565876334476
2024-02-01,128082,20.774523383949628
2024-02-02,128096,20.7767941427399
2024-02-03,128095,20.776631945683448
2024-02-04,128090,20.775820960401212
2024-02-05,128089,20.77565876334476
2024-02-06,128131,20.78247103971557
2024-02-07,128121,20.780849069151092
2024-02-08,128140,20.783930813223602
2024-02-09,128123,20.78117346326399
2024-02-10,128104,20.77809171919148
2024-02-11,128051,20.769495275199745
2024-02-12,128041,20.767873304635266
2024-02-13,128061,20.771117245764223
2024-02-14,127984,20.758628072417743
2024-02-15,127870,20.74013760798269
2024-02-16,127774,20.724566690563698
2024-02-17,127717,20.715321458346175
2024-02-18,127663,20.706562817297993
2024-02-19,127604,20.69699319096757
2024-02-20,127510,20.681746667661475
2024-02-21,127408,20.665202567903798
2024-02-22,127391,20.662445217944185
2024-02-23,127303,20.648171876976775
2024-02-24,127105,20.616056859800107
2024-02-25,127113,20.61735443625169
2024-02-26,127106,20.616219056856558
2024-02-27,127100,20.615245874517868
2024-02-28,127016,20.601621321776253
2024-02-29,127013,20.60113473060691
2024-03-01,126757,20.559612284156266
2024-03-02,126711,20.55215121955967
2024-03-03,126611,20.535931513914885
2024-03-04,126527,20.522306961173268
2024-03-05,126524,20.521820370003926
2024-03-06,126524,20.521820370003926
2024-03-07,126477,20.514197108350878
2024-03-08,126415,20.50414089085111
2024-03-09,126353,20.49408467335135
2024-03-10,126333,20.49084073222239
2024-03-11,126299,20.485326032303167
2024-03-12,126265,20.47981133238394
2024-03-13,126273,20.481108908835523
2024-03-14,126132,20.45823912387638
2024-03-15,126106,20.454022000408738
2024-03-16,126100,20.453048818070048
2024-03-17,125847,20.41201296278875
2024-03-18,125738,20.39433348363594
2024-03-19,125771,20.399685986498717
2024-03-20,125736,20.394009089523042
2024-03-21,125727,20.392549316015014
2024-03-22,125711,20.38995416311185
2024-03-23,125620,20.375194230975097
2024-03-24,125574,20.367733166378496
2024-03-25,125512,20.357676948878733
2024-03-26,125453,20.34810732254831
2024-03-27,125384,20.336915725653412
2024-03-28,125428,20.344052396137116
2024-03-29,125418,20.342430425572637
2024-03-30,125295,20.322480187629555
2024-03-31,125192,20.30577389081543
