date,num_httpsrr
2023-08-02,129021
2023-08-03,129056
2023-08-04,129076
2023-08-05,129108
2023-08-06,129104
2023-08-07,129101
2023-08-08,129127
2023-08-09,129130
2023-08-10,129111
2023-08-11,129118
2023-08-12,129127
2023-08-13,129120
2023-08-14,129108
2023-08-15,129096
2023-08-16,128790
2023-08-17,128778
2023-08-18,128730
2023-08-19,128718
2023-08-20,128703
2023-08-21,128709
2023-08-22,128763
2023-08-23,128801
2023-08-24,128804
2023-08-25,128829
2023-08-26,128866
2023-08-27,128882
2023-08-28,128887
2023-08-29,128899
2023-08-30,128928
2023-08-31,128956
2023-09-01,128973
2023-09-02,128998
2023-09-03,128988
2023-09-04,128996
2023-09-05,128985
2023-09-06,129004
2023-09-07,129035
2023-09-08,128977
2023-09-09,128289
2023-09-10,128291
2023-09-11,128314
2023-09-12,128310
2023-09-13,128042
2023-09-14,128070
2023-09-15,128098
2023-09-16,128101
2023-09-17,128110
2023-09-18,128110
2023-09-19,128095
2023-09-20,128102
2023-09-21,128154
2023-09-22,128154
2023-09-23,128157
2023-09-24,128156
2023-09-25,128166
2023-09-26,128157
2023-09-27,128181
2023-09-28,128197
2023-09-29,128228
2023-09-30,128236
2023-10-01,128234
2023-10-02,128259
2023-10-03,128284
2023-10-04,128363
2023-10-05,128379
2023-10-06,128394
2023-10-07,128374
2023-10-08,128403
2023-10-09,128398
2023-10-10,128403
2023-10-11,128423
2023-10-12,128434
2023-10-13,128446
2023-10-14,128462
2023-10-15,128472
2023-10-16,128462
2023-10-17,128493
2023-10-18,128527
2023-10-19,128542
2023-10-20,128570
2023-10-21,127262
2023-10-22,126727
2023-10-23,126750
2023-10-24,126793
2023-10-25,126825
2023-10-26,126862
2023-10-27,126894
2023-10-28,126917
2023-10-29,126932
2023-10-30,126921
2023-10-31,126959
2023-11-01,126979
2023-11-02,126998
2023-11-03,126939
2023-11-04,126888
2023-11-05,126920
2023-11-06,126873
2023-11-07,126979
2023-11-08,127030
2023-11-09,127064
2023-11-10,127112
2023-11-11,127091
2023-11-12,127088
2023-11-13,127106
2023-11-14,127213
2023-11-15,127254
2023-11-16,127279
2023-11-17,127295
2023-11-18,127315
2023-11-19,127319
2023-11-20,127328
2023-11-21,127359
2023-11-22,127386
2023-11-23,127443
2023-11-24,127475
2023-11-25,127463
2023-11-26,127461
2023-11-27,127465
2023-11-28,127484
2023-11-29,127507
2023-11-30,127484
2023-12-01,127460
2023-12-02,127499
2023-12-03,127461
2023-12-04,127450
2023-12-05,127493
2023-12-06,127504
2023-12-07,127450
2023-12-08,127447
2023-12-09,127393
2023-12-10,127419
2023-12-11,127445
2023-12-12,127452
2023-12-13,127462
2023-12-14,127497
2023-12-15,127513
2023-12-16,127538
2023-12-17,127523
2023-12-18,127544
2023-12-19,127528
2023-12-20,127528
2023-12-21,127583
2023-12-22,127586
2023-12-23,127632
2023-12-24,127639
2023-12-25,127627
2023-12-26,127632
2023-12-27,127644
2023-12-28,127651
2023-12-29,127664
2023-12-30,127683
2023-12-31,127698
2024-01-01,127678
2024-01-02,127695
2024-01-03,127720
2024-01-04,127720
2024-01-05,127801
2024-01-06,127805
2024-01-07,127797
2024-01-08,127816
2024-01-09,127830
2024-01-10,127855
2024-01-11,127887
2024-01-12,127927
2024-01-13,127957
2024-01-14,127980
2024-01-15,127951
2024-01-16,127958
2024-01-17,127975
2024-01-18,128020
2024-01-19,128035
2024-01-20,128011
2024-01-21,128014
2024-01-22,128018
2024-01-23,128036
2024-01-24,128034
2024-01-25,128046
2024-01-26,128078
2024-01-27,128108
2024-01-28,128096
2024-01-29,128100
2024-01-30,128099
2024-01-31,128089
2024-02-01,128082
2024-02-02,128096
2024-02-03,128095
2024-02-04,128090
2024-02-05,128089
2024-02-06,128131
2024-02-07,128121
2024-02-08,128140
2024-02-09,128123
2024-02-10,128104
2024-02-11,128051
2024-02-12,128041
2024-02-13,128061
2024-02-14,127984
2024-02-15,127870
2024-02-16,127774
2024-02-17,127717
2024-02-18,127663
2024-02-19,127604
2024-02-20,127510
2024-02-21,127408
2024-02-22,127391
2024-02-23,127303
2024-02-24,127105
2024-02-25,127113
2024-02-26,127106
2024-02-27,127100
2024-02-28,127016
2024-02-29,127013
2024-03-01,126757
2024-03-02,126711
2024-03-03,126611
2024-03-04,126527
2024-03-05,126524
2024-03-06,126524
2024-03-07,126477
2024-03-08,126415
2024-03-09,126353
2024-03-10,126333
2024-03-11,126299
2024-03-12,126265
2024-03-13,126273
2024-03-14,126132
2024-03-15,126106
2024-03-16,126100
2024-03-17,125847
2024-03-18,125738
2024-03-19,125771
2024-03-20,125736
2024-03-21,125727
2024-03-22,125711
2024-03-23,125620
2024-03-24,125574
2024-03-25,125512
2024-03-26,125453
2024-03-27,125384
2024-03-28,125428
2024-03-29,125418
2024-03-30,125295
2024-03-31,125192
