date,num_httpsrr,perc
2023-05-08,142284,22.413635575999116
2023-05-09,142537,22.453490020636096
2023-05-10,142488,22.445771175627353
2023-05-11,142471,22.443093208991666
2023-05-12,142496,22.447031395220616
2023-05-13,142483,22.444983538381564
2023-05-14,142441,22.438367385516926
2023-05-15,142427,22.436162001228713
2023-05-16,142420,22.435059309084608
2023-05-17,142459,22.44120287960177
2023-05-18,142454,22.440415242355982
2023-05-19,142443,22.438682440415242
2023-05-20,142456,22.440730297254298
2023-05-21,142440,22.43820985806777
2023-05-22,142459,22.44120287960177
2023-05-23,142452,22.440100187457663
2023-05-24,142403,22.43238134244892
2023-05-25,142418,22.434744254186292
2023-05-26,142429,22.43647705612703
2023-05-27,142439,22.43805233061861
2023-05-28,142430,22.43663458357619
2023-05-29,142424,22.43568941888124
2023-05-30,142393,22.43080606795734
2023-05-31,142370,22.427182936626707
2023-06-01,142368,22.42686788172839
2023-06-02,142403,22.43238134244892
2023-06-03,142377,22.428285628770812
2023-06-04,142331,22.421039366109543
2023-06-05,142351,22.424189915092704
2023-06-06,142367,22.426710354279233
2023-06-07,142375,22.427970573872496
2023-06-08,142386,22.429703375813236
2023-06-09,142421,22.435216836533765
2023-06-10,142353,22.42450496999102
2023-06-11,142343,22.42292969549944
2023-06-12,142341,22.422614640601125
2023-06-13,142349,22.42387486019439
2023-06-14,142265,22.410642554465117
2023-06-15,142324,22.419936673965438
2023-06-16,142368,22.42686788172839
2023-06-17,141878,22.349679431640965
2023-06-18,141882,22.350309541437596
2023-06-19,141844,22.34432349836959
2023-06-20,141821,22.340700367038956
2023-06-21,141764,22.33172130243695
2023-06-22,141775,22.333454104377687
2023-06-23,141732,22.326680424063895
2023-06-24,141710,22.323214820182418
2023-06-25,141697,22.321166963343362
2023-06-26,141678,22.31817394180936
2023-06-27,141793,22.336289598462532
2023-06-28,141845,22.344481025818748
2023-06-29,141852,22.345583717962857
2023-06-30,141834,22.34274822387801
2023-07-01,141829,22.341960586632222
2023-07-02,141826,22.341488004284745
2023-07-03,141777,22.333769159276002
2023-07-04,141726,22.325735259368944
2023-07-05,141717,22.324317512326523
2023-07-06,141603,22.30635938312251
2023-07-07,141601,22.306044328224193
2023-07-08,141603,22.30635938312251
2023-07-09,141587,22.303838943935983
2023-07-10,141596,22.305256690978403
2023-07-11,141577,22.3022636694444
2023-07-12,141570,22.301160977300295
2023-07-13,141552,22.29832548321545
2023-07-14,141520,22.293284604842395
2023-07-15,141503,22.290606638206707
2023-07-16,141509,22.291551802901655
2023-07-17,141563,22.30005828515619
2023-07-18,141552,22.29832548321545
2023-07-19,141489,22.288401253918494
2023-07-20,141466,22.28477812258786
2023-07-21,141494,22.289188891164287
2023-07-22,141362,22.268395267875427
2023-07-23,141257,22.251854885713836
2023-07-24,141203,22.243348403459304
2023-07-25,141150,22.234999448653927
2023-07-26,141061,22.220979505678866
2023-07-27,141006,22.212315495975172
2023-07-28,140988,22.20948000189033
2023-07-29,140971,22.206802035254643
2023-07-30,140955,22.204281596068114
2023-07-31,140918,22.19845308044927
2023-08-01,140663,22.158283580913974
2023-08-02,137219,22.256517888713354
2023-08-03,137251,22.261708194519684
2023-08-04,137261,22.263330165084163
2023-08-05,137302,22.269980244398525
2023-08-06,137307,22.270791229680764
2023-08-07,137298,22.269331456172733
2023-08-08,137335,22.275332747261302
2023-08-09,137364,22.28003646189829
2023-08-10,137331,22.27468395903551
2023-08-11,137354,22.278414491333812
2023-08-12,137371,22.281171841293425
2023-08-13,137359,22.279225476616052
2023-08-14,137370,22.281009644236978
2023-08-15,137357,22.278901082503154
2023-08-16,137059,22.230566359681706
2023-08-17,137061,22.2308907537946
2023-08-18,137014,22.223267492141552
2023-08-19,137013,22.223105295085105
2023-08-20,136992,22.2196991568997
2023-08-21,137014,22.223267492141552
2023-08-22,137080,22.233972497867107
2023-08-23,137104,22.237865227221857
2023-08-24,137116,22.23981159189923
2023-08-25,137158,22.24662386827004
2023-08-26,137169,22.248408035890964
2023-08-27,137179,22.250030006455443
2023-08-28,137184,22.250840991737682
2023-08-29,137199,22.2532739475844
2023-08-30,137234,22.258950844560072
2023-08-31,137250,22.261545997463237
2023-09-01,137279,22.266249712100226
2023-09-02,137293,22.268520470890493
2023-09-03,137273,22.26527652976154
2023-09-04,137281,22.26657410621312
2023-09-05,137285,22.267222894438913
2023-09-06,137321,22.27306198847103
2023-09-07,137357,22.278901082503154
2023-09-08,137297,22.269169259116286
2023-09-09,136686,22.17006685762667
2023-09-10,136688,22.170391251739563
2023-09-11,136719,22.175419360489446
2023-09-12,136732,22.177527922223266
2023-09-13,136479,22.13649206694197
2023-09-14,136496,22.13924941690158
2023-09-15,136539,22.146223890328837
2023-09-16,136537,22.145899496215943
2023-09-17,136551,22.148170255006214
2023-09-18,136551,22.148170255006214
2023-09-19,136530,22.14476411682081
2023-09-20,136554,22.148656846175555
2023-09-21,136643,22.163092384199413
2023-09-22,136643,22.163092384199413
2023-09-23,136657,22.16536314298968
2023-09-24,136662,22.16617412827192
2023-09-25,136678,22.168769281175084
2023-09-26,136676,22.16844488706219
2023-09-27,136683,22.169580266457324
2023-09-28,136722,22.175905951658788
2023-09-29,136748,22.18012307512643
2023-09-30,136756,22.181420651578016
2023-10-01,136758,22.18174504569091
2023-10-02,136800,22.18855732206172
2023-10-03,136812,22.190503686739092
2023-10-04,136904,22.205425815932294
2023-10-05,136922,22.208345362948354
2023-10-06,136939,22.211102712907966
2023-10-07,136918,22.20769657472256
2023-10-08,136965,22.21531983637561
