date,num_adbit,num_httpsrr,perc,adbit_perc
2023-05-08,13668,142284,22.41363557599912,9.606139833010037
2023-05-09,13675,142537,22.453490020636096,9.594000154345888
2023-05-10,13686,142488,22.445771175627357,9.605019370052215
2023-05-11,13691,142471,22.443093208991662,9.609674951393616
2023-05-12,13709,142496,22.447031395220616,9.620620929710308
2023-05-13,13705,142483,22.444983538381564,9.618691352652597
2023-05-14,13705,142441,22.438367385516926,9.621527509635568
2023-05-15,13696,142427,22.436162001228716,9.616154240417899
2023-05-16,13707,142420,22.435059309084608,9.62435051256846
2023-05-17,13716,142459,22.44120287960177,9.628033328887609
2023-05-18,13727,142454,22.440415242355986,9.636093054600082
2023-05-19,13718,142443,22.43868244041524,9.630518874216353
2023-05-20,13720,142456,22.440730297254294,9.631043971471893
2023-05-21,13716,142440,22.43820985806777,9.629317607413649
2023-05-22,13721,142459,22.44120287960177,9.63154311064938
2023-05-23,13735,142452,22.440100187457663,9.641844270350715
2023-05-24,13706,142403,22.43238134244892,9.624797230395426
2023-05-25,13697,142418,22.43474425418629,9.617464084596048
2023-05-26,13688,142429,22.43647705612703,9.610402375920634
2023-05-27,13702,142439,22.43805233061861,9.61955644170487
2023-05-28,13701,142430,22.43663458357619,9.619462191953943
2023-05-29,13699,142424,22.43568941888124,9.61846318036286
2023-05-30,13697,142393,22.43080606795734,9.619152626884748
2023-05-31,13696,142370,22.427182936626707,9.620004214371004
2023-06-01,13712,142368,22.42686788172839,9.631377837716341
2023-06-02,13723,142403,22.43238134244892,9.636735181140846
2023-06-03,13720,142377,22.42828562877081,9.636387899730996
2023-06-04,13722,142331,22.421039366109543,9.64090746218322
2023-06-05,13719,142351,22.424189915092704,9.637445469297722
2023-06-06,13720,142367,22.426710354279237,9.637064769223205
2023-06-07,13722,142375,22.427970573872496,9.637928007023705
2023-06-08,13736,142386,22.42970337581324,9.647015858300676
2023-06-09,13746,142421,22.435216836533765,9.651666537940331
2023-06-10,13742,142353,22.42450496999102,9.653467085344179
2023-06-11,13746,142343,22.42292969549944,9.656955382421334
2023-06-12,13747,142341,22.422614640601125,9.657793608306813
2023-06-13,13751,142349,22.42387486019439,9.660060836395058
2023-06-14,13755,142265,22.41064255446512,9.668576248550242
2023-06-15,13764,142324,22.41993667396544,9.67089176807847
2023-06-16,13767,142368,22.42686788172839,9.670010114632502
2023-06-17,13761,141878,22.349679431640965,9.699178167157699
2023-06-18,13783,141882,22.3503095414376,9.714410566527114
